LGA,prevalence,burden,mix,filename,population_2006,population_2026,under5_population_2026,under2_population_2026,annual_births_2026,population_source
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,01_Aba North.txt,106844,183345,29500,11800,6050,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Aba South,11.72,Moderate,CM + IPTp + Dual AI + PMC + Vac + LSM,02_Aba South.txt,427421,733458,118011,47204,24204,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Arochukwu,13.02,Moderate,CM + IPTp + Dual AI + PMC + Vac,03_Arochukwu.txt,169339,290587,46754,18702,9589,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Bende,8.1,Low,CM + IPTp + Dual AI + PMC,04_Bende.txt,192621,330539,53183,21273,10908,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Ikwuano,7.99,Low,CM + IPTp + Dual AI + PMC,05_Ikwuano.txt,137897,236632,38073,15229,7809,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Isiala Ngwa North,11.47,Moderate,CM + IPTp + Dual AI + PMC + Vac,06_Isiala-Ngwa North.txt,154083,264408,42542,17017,8725,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Isiala Ngwa South,8.29,Low,CM + IPTp + Dual AI + PMC,07_Isiala-Ngwa South.txt,136650,234492,37729,15092,7738,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Isuikwato,6.07,Low,CM + IPTp + Dual AI + PMC + LSM,08_Isuikwuato.txt,115794,198703,31971,12788,6557,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,09_Obi Nwga.txt,181894,312131,50221,20088,10300,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,10_Ohafia.txt,245987,422115,67917,27167,13930,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,11_Osisioma Ngwa.txt,220662,378658,60925,24370,12496,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,12_Ugwunagbo.txt,85371,146497,23571,9428,4834,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,13_Ukwa East.txt,58139,99767,16052,6421,3292,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,14_Ukwa West.txt,87367,149922,24122,9649,4947,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,15_Umuahia North.txt,223134,382900,61607,24643,12636,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,16_Umuahia South.txt,139058,238625,38394,15358,7875,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,17_Umunneochi.txt,163119,279913,45037,18015,9237,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates
