date,periodname,PW,Under_5yrs,Above_5yrs,Total_incidence_cases,LGA,date_alignment,total_check
2021-01-01,0,0,17,38,55,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-02-01,0,41,20,24,85,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-03-01,0,162,53,101,316,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-04-01,0,175,77,132,384,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-05-01,0,66,42,37,145,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-06-01,0,59,62,47,168,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-07-01,0,113,51,42,206,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-08-01,0,107,53,68,228,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-09-01,0,63,15,42,120,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-10-01,0,99,31,35,165,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-11-01,0,111,39,71,221,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-12-01,0,151,66,122,339,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-01-01,0,75,20,47,142,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-02-01,0,83,41,60,184,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-03-01,0,203,65,142,410,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-04-01,0,46,39,29,114,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-05-01,0,90,39,50,179,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-06-01,0,67,40,42,149,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-07-01,0,107,33,77,217,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-08-01,0,92,25,63,180,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-09-01,0,69,47,37,153,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-10-01,0,112,56,69,237,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-11-01,0,269,123,161,553,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-12-01,0,111,84,71,266,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-01-01,0,217,68,140,425,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-02-01,0,111,62,75,248,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-03-01,0,133,65,84,282,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-04-01,0,145,66,90,301,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-05-01,0,59,21,50,130,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-06-01,0,177,55,131,363,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-07-01,0,181,68,121,370,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-08-01,0,44,31,22,97,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-09-01,0,121,61,67,249,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-10-01,0,217,51,120,388,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-11-01,0,178,112,101,391,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-12-01,0,163,36,90,289,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-01-01,0,211,73,139,423,Aba North,Direct monthly mapping: Jan 2021--Apr 2026,True
