periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	17	38	55
0	41	20	24	85
0	162	53	101	316
0	175	77	132	384
0	66	42	37	145
0	59	62	47	168
0	113	51	42	206
0	107	53	68	228
0	63	15	42	120
0	99	31	35	165
0	111	39	71	221
0	151	66	122	339
0	75	20	47	142
0	83	41	60	184
0	203	65	142	410
0	46	39	29	114
0	90	39	50	179
0	67	40	42	149
0	107	33	77	217
0	92	25	63	180
0	69	47	37	153
0	112	56	69	237
0	269	123	161	553
0	111	84	71	266
0	217	68	140	425
0	111	62	75	248
0	133	65	84	282
0	145	66	90	301
0	59	21	50	130
0	177	55	131	363
0	181	68	121	370
0	44	31	22	97
0	121	61	67	249
0	217	51	120	388
0	178	112	101	391
0	163	36	90	289
0	211	73	139	423
0	126	48	72	246
0	144	59	97	300
0	157	47	79	283
0	233	78	111	422
0	171	92	118	381
0	252	105	155	512
0	313	117	237	667
0	353	129	210	692
0	302	89	243	634
0	227	58	173	458
0	250	62	184	496
0	410	121	372	903
0	526	135	430	1091
0	504	134	387	1025
0	470	112	404	986
0	798	233	720	1751
0	1422	472	1185	3079
0	1326	551	1167	3044
0	1877	806	1714	4397
0	1955	737	1706	4398
0	1657	588	1365	3610
0	1426	437	1253	3116
0	2347	694	2114	5155
0	1337	375	1048	2760
0	1573	413	1331	3317
0	1810	476	1499	3785
0	1343	504	1193	3040
