periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	97	249	290	636
0	421	131	327	879
0	605	184	285	1074
0	934	407	662	2003
0	660	258	434	1352
0	1242	345	929	2516
0	1148	466	860	2474
0	3112	331	2866	6309
0	868	264	592	1724
0	852	329	568	1749
0	995	289	631	1915
0	461	203	254	918
0	395	162	274	831
0	413	252	329	994
0	561	246	356	1163
0	555	203	348	1106
0	762	237	503	1502
0	703	278	481	1462
0	621	281	448	1350
0	712	247	465	1424
0	723	255	439	1417
0	897	276	593	1766
0	932	411	492	1835
0	688	235	490	1413
0	847	248	597	1692
0	555	186	334	1075
0	764	228	511	1503
0	616	241	424	1281
0	916	288	657	1861
0	810	348	524	1682
0	741	240	567	1548
0	934	487	733	2154
0	794	304	568	1666
0	1001	405	741	2147
0	955	452	675	2082
0	881	361	639	1881
0	1140	405	840	2385
0	939	554	694	2187
0	670	417	439	1526
0	793	445	540	1778
0	989	327	803	2119
0	759	396	540	1695
0	775	317	547	1639
0	719	219	495	1433
0	607	279	448	1334
0	975	299	732	2006
0	923	336	689	1948
0	950	389	733	2072
0	1214	385	909	2508
0	1374	591	1093	3058
0	1293	522	967	2782
0	1411	558	1086	3055
0	1481	585	1142	3208
0	2209	740	1797	4746
0	1599	568	1300	3467
0	2650	999	2196	5845
0	1784	944	1493	4221
0	1861	599	1517	3977
0	1452	525	1186	3163
0	2201	769	1918	4888
0	1340	550	1037	2927
0	1583	663	1303	3549
0	1832	623	1563	4018
0	1705	634	1401	3740
