periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	12	27	39
0	20	16	19	55
0	25	8	15	48
0	17	15	17	49
0	39	12	35	86
0	32	10	27	69
0	26	10	21	57
0	33	23	30	86
0	57	16	54	127
0	18	15	14	47
0	35	6	33	74
0	36	7	32	75
0	21	6	11	38
0	22	9	20	51
0	25	17	18	60
0	21	11	20	52
0	32	6	24	62
0	20	5	17	42
0	44	17	39	100
0	23	10	21	54
0	31	10	29	70
0	48	5	46	99
0	15	6	12	33
0	29	11	27	67
0	22	5	20	47
0	9	1	7	17
0	9	1	9	19
0	11	2	11	24
0	0	0	0	0
0	34	6	33	73
0	16	8	14	38
0	77	9	73	159
0	34	9	34	77
0	15	9	14	38
0	50	15	40	105
0	34	25	33	92
0	93	46	93	232
0	99	43	99	241
0	115	35	99	249
0	135	33	116	284
0	158	43	139	340
0	175	57	154	386
0	199	52	178	429
0	273	64	234	571
0	808	139	761	1708
0	813	131	776	1720
0	959	193	921	2073
0	1004	137	910	2051
0	717	120	660	1497
0	628	100	575	1303
0	444	70	404	918
0	1325	149	1274	2748
0	2005	295	1949	4249
0	9486	1187	9366	20039
0	5405	808	5267	11480
0	8612	1718	8433	18763
0	5715	1110	5595	12420
0	5572	1095	5432	12099
0	5659	805	5489	11953
0	3887	775	3803	8465
0	3771	1054	3666	8491
0	3284	866	3088	7238
0	4286	574	4194	9054
0	3711	591	3564	7866
