periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	22	41	63
0	81	35	73	189
0	120	70	118	308
0	129	95	115	339
0	193	87	183	463
0	145	72	140	357
0	159	86	154	399
0	171	74	159	404
0	159	70	152	381
0	87	36	77	200
0	76	63	73	212
0	147	53	134	334
0	93	56	92	241
0	85	46	76	207
0	66	31	55	152
0	69	32	60	161
0	135	164	113	412
0	137	78	98	313
0	129	63	111	303
0	183	123	181	487
0	159	75	144	378
0	98	51	79	228
0	131	42	95	268
0	131	59	108	298
0	148	66	125	339
0	86	49	70	205
0	71	39	56	166
0	218	122	205	545
0	22	13	22	57
0	137	79	123	339
0	388	274	378	1040
0	38	14	34	86
0	43	31	39	113
0	46	26	30	102
0	70	33	52	155
0	4	0	2	6
0	190	90	166	446
0	79	47	60	186
0	161	92	137	390
0	323	142	295	760
0	601	266	549	1416
0	574	300	521	1395
0	730	348	687	1765
0	1153	347	1105	2605
0	1106	379	1038	2523
0	1030	285	949	2264
0	1144	297	1083	2524
0	1247	277	1200	2724
0	947	255	885	2087
0	1081	397	1019	2497
0	449	147	431	1027
0	1921	423	1837	4181
0	1859	411	1767	4037
0	8199	1489	8012	17700
0	4288	745	4192	9225
0	5955	1243	5762	12960
0	3115	1142	3001	7258
0	3332	1022	3224	7578
0	3376	1158	3267	7801
0	3533	978	3407	7918
0	2614	865	2521	6000
0	2604	790	2525	5919
0	3508	949	3410	7867
0	2594	795	2525	5914
