periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	1	1	1	3
0	75	18	59	152
0	81	36	76	193
0	80	27	66	173
0	69	23	57	149
0	48	12	38	98
0	54	16	46	116
0	99	57	80	236
0	100	49	85	234
0	99	38	73	210
0	34	18	25	77
0	12	4	10	26
0	21	6	14	41
0	32	11	23	66
0	44	33	35	112
0	51	18	44	113
0	117	55	96	268
0	102	24	71	197
0	147	31	122	300
0	113	22	92	227
0	119	22	111	252
0	119	16	110	245
0	132	34	118	284
0	111	18	100	229
0	101	50	76	227
0	58	30	49	137
0	33	19	31	83
0	48	14	43	105
0	0	0	0	0
0	133	21	101	255
0	142	37	115	294
0	124	51	86	261
0	130	23	116	269
0	151	33	138	322
0	116	36	99	251
0	115	30	96	241
0	162	49	128	339
0	67	23	53	143
0	110	56	84	250
0	191	89	159	439
0	209	63	177	449
0	497	178	443	1118
0	715	276	640	1631
0	859	215	767	1841
0	1849	303	1748	3900
0	1463	380	1340	3183
0	2063	435	1935	4433
0	2530	714	2353	5597
0	2035	356	1867	4258
0	1662	376	1536	3574
0	737	148	696	1581
0	1652	264	1601	3517
0	1592	265	1542	3399
0	8237	1217	7937	17391
0	4562	1027	4447	10036
0	3963	641	3837	8441
0	2859	758	2766	6383
0	3960	965	3846	8771
0	3153	805	2978	6936
0	3712	883	3560	8155
0	1969	442	1897	4308
0	1968	512	1903	4383
0	2196	511	2112	4819
0	1918	554	1809	4281
