periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	26	75	101
0	167	49	141	357
0	130	60	106	296
0	104	54	81	239
0	265	87	216	568
0	152	75	109	336
0	210	54	115	379
0	209	67	138	414
0	260	72	188	520
0	153	70	126	349
0	151	68	89	308
0	193	81	146	420
0	194	55	157	406
0	133	61	108	302
0	208	67	88	363
0	142	40	110	292
0	148	63	124	335
0	429	92	279	800
0	334	36	122	492
0	499	82	242	823
0	328	32	140	500
0	344	58	181	583
0	445	96	317	858
0	221	64	129	414
0	355	80	269	704
0	323	76	191	590
0	263	89	178	530
0	354	88	274	716
0	103	27	90	220
0	38	11	33	82
0	3	0	3	6
0	0	0	0	0
0	0	0	0	0
0	0	2	0	2
0	0	0	0	0
0	4	0	0	4
0	266	54	180	500
0	111	31	89	231
0	112	29	67	208
0	138	31	125	294
0	262	56	221	539
0	120	39	96	255
0	177	62	136	375
0	319	69	300	688
0	602	154	564	1320
0	641	190	598	1429
0	1131	273	1070	2474
0	627	175	591	1393
0	630	133	589	1352
0	596	141	533	1270
0	643	161	590	1394
0	1055	202	997	2254
0	1043	245	969	2257
0	5744	1285	5492	12521
0	5420	1229	5147	11796
0	5941	1453	5579	12973
0	3171	936	2996	7103
0	3627	1054	3450	8131
0	3703	1252	3532	8487
0	3873	1011	3603	8487
0	2483	1300	2351	6134
0	1735	539	1631	3905
0	1933	702	1840	4475
0	1701	531	1620	3852
