periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	38	76	114
0	173	32	124	329
0	113	56	88	257
0	109	72	71	252
0	74	50	47	171
0	169	45	120	334
0	106	60	62	228
0	152	48	99	299
0	99	60	54	213
0	118	70	72	260
0	146	75	121	342
0	135	35	74	244
0	104	37	65	206
0	218	67	158	443
0	98	37	72	207
0	176	79	136	391
0	54	41	33	128
0	100	37	60	197
0	118	61	69	248
0	111	27	70	208
0	120	45	66	231
0	72	31	48	151
0	98	56	67	221
0	70	45	52	167
0	65	43	46	154
0	70	30	51	151
0	55	32	31	118
0	82	57	57	196
0	0	0	0	0
0	101	41	65	207
0	69	43	39	151
0	132	93	105	330
0	78	45	55	178
0	133	64	108	305
0	57	42	34	133
0	55	40	37	132
0	96	34	68	198
0	101	41	64	206
0	338	113	230	681
0	200	85	138	423
0	213	95	148	456
0	216	87	160	463
0	211	85	164	460
0	280	103	224	607
0	361	109	289	759
0	545	166	428	1139
0	511	181	433	1125
0	706	193	639	1538
0	506	157	439	1102
0	373	133	330	836
0	448	181	386	1015
0	498	148	453	1099
0	1166	337	1006	2509
0	1314	359	1261	2934
0	1138	290	1074	2502
0	1597	459	1514	3570
0	1567	517	1492	3576
0	1598	495	1526	3619
0	1267	352	1206	2825
0	1584	395	1452	3431
0	933	268	865	2066
0	1195	362	1142	2699
0	1165	326	1045	2536
0	1029	286	984	2299
