periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	25	177	202
0	83	24	64	171
0	88	39	69	196
0	74	61	53	188
0	85	50	65	200
0	104	36	94	234
0	136	74	118	328
0	126	30	101	257
0	138	51	112	301
0	114	65	92	271
0	89	42	67	198
0	121	56	103	280
0	98	36	79	213
0	100	43	71	214
0	94	58	85	237
0	113	37	105	255
0	144	56	130	330
0	136	53	120	309
0	216	54	183	453
0	114	44	100	258
0	78	48	72	198
0	65	25	62	152
0	67	38	64	169
0	84	27	81	192
0	82	29	61	172
0	54	38	45	137
0	32	45	28	105
0	57	86	51	194
0	9	3	9	21
0	116	49	106	271
0	115	61	92	268
0	74	61	70	205
0	64	67	59	190
0	63	49	50	162
0	51	25	45	121
0	54	41	43	138
0	116	50	113	279
0	114	71	109	294
0	76	26	71	173
0	98	44	95	237
0	148	47	121	316
0	123	29	111	263
0	267	90	253	610
0	383	127	349	859
0	1077	293	1029	2399
0	994	220	935	2149
0	1147	258	1112	2517
0	1072	171	1011	2254
0	878	208	835	1921
0	658	194	618	1470
0	801	199	752	1752
0	1552	271	1477	3300
0	1796	261	1725	3782
0	9579	1849	9365	20793
0	5082	989	4992	11063
0	5169	915	5067	11151
0	3573	901	3485	7959
0	3708	813	3626	8147
0	3575	717	3478	7770
0	4197	822	4085	9104
0	3041	589	2920	6550
0	2679	687	2590	5956
0	2264	592	2190	5046
0	1908	414	1827	4149
