periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	76	259	335
0	262	138	225	625
0	347	151	276	774
0	214	107	143	464
0	244	107	170	521
0	431	133	345	909
0	862	144	711	1717
0	802	158	715	1675
0	395	126	269	790
0	250	126	190	566
0	286	110	224	620
0	247	102	204	553
0	197	79	163	439
0	392	103	325	820
0	207	81	151	439
0	381	93	337	811
0	349	129	293	771
0	269	89	198	556
0	285	89	226	600
0	252	64	184	500
0	302	99	213	614
0	339	95	255	689
0	307	121	196	624
0	361	119	271	751
0	380	104	290	774
0	295	94	232	621
0	229	61	134	424
0	416	113	347	876
0	143	24	131	298
0	313	122	242	677
0	335	99	228	662
0	148	54	94	296
0	151	63	91	305
0	108	110	74	292
0	106	57	85	248
0	107	51	82	240
0	149	62	112	323
0	239	88	174	501
0	169	84	127	380
0	156	76	114	346
0	118	65	72	255
0	214	83	128	425
0	192	88	137	417
0	179	83	108	370
0	165	58	111	334
0	648	244	582	1474
0	789	340	654	1783
0	739	246	645	1630
0	834	237	768	1839
0	1025	303	951	2279
0	856	275	778	1909
0	660	167	610	1437
0	1190	279	1109	2578
0	1318	372	1235	2925
0	1336	442	1290	3068
0	1109	449	1042	2600
0	1256	412	1205	2873
0	1295	366	1236	2897
0	1120	364	1071	2555
0	1275	333	1195	2803
0	870	831	826	2527
0	1084	333	1014	2431
0	1395	414	1317	3126
0	1135	307	1067	2509
