periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	9	29	75	113
0	111	46	85	242
0	103	38	61	202
0	88	53	62	203
0	108	76	70	254
0	107	63	72	242
0	127	46	83	256
0	102	37	65	204
0	97	54	72	223
0	174	57	107	338
0	86	26	55	167
0	101	44	78	223
0	133	51	107	291
0	78	34	66	178
0	65	46	44	155
0	136	38	100	274
0	115	48	88	251
0	118	73	95	286
0	194	44	170	408
0	196	58	146	400
0	136	45	100	281
0	159	45	113	317
0	122	37	78	237
0	122	28	98	248
0	157	51	119	327
0	49	14	38	101
0	81	38	66	185
0	74	35	62	171
0	45	13	36	94
0	116	51	104	271
0	113	70	107	290
0	91	43	79	213
0	101	39	89	229
0	53	21	46	120
0	84	62	74	220
0	98	45	89	232
0	228	92	179	499
0	190	97	147	434
0	179	105	133	417
0	180	55	140	375
0	166	67	129	362
0	252	89	200	541
0	326	109	283	718
0	709	218	623	1550
0	1485	376	1428	3289
0	1675	333	1623	3631
0	1846	388	1727	3961
0	1994	420	1931	4345
0	1516	362	1450	3328
0	1417	302	1367	3086
0	1307	247	1237	2791
0	2000	381	1905	4286
0	4242	527	4094	8863
0	13023	2018	12703	27744
0	4962	1159	4788	10909
0	7253	1850	6926	16029
0	4225	1712	4086	10023
0	6457	1362	6235	14054
0	7097	1569	6887	15553
0	8000	1518	7873	17391
0	4469	1095	4342	9906
0	4570	1434	4442	10446
0	4294	1285	4138	9717
0	3915	1023	3809	8747
