periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	22	53	75
0	93	58	56	207
0	168	50	110	328
0	123	63	70	256
0	150	74	129	353
0	230	76	152	458
0	293	136	223	652
0	326	84	214	624
0	264	94	177	535
0	225	83	138	446
0	166	93	117	376
0	211	95	150	456
0	188	55	126	369
0	209	77	162	448
0	258	141	131	530
0	327	135	206	668
0	332	139	178	649
0	354	96	167	617
0	278	92	115	485
0	345	66	204	615
0	462	93	307	862
0	303	82	166	551
0	297	147	180	624
0	217	79	103	399
0	181	81	95	357
0	189	73	139	401
0	402	109	284	795
0	308	99	190	597
0	192	58	114	364
0	285	123	197	605
0	225	96	130	451
0	187	100	137	424
0	230	86	150	466
0	201	55	147	403
0	214	80	151	445
0	130	79	93	302
0	210	72	128	410
0	246	108	166	520
0	491	201	363	1055
0	360	100	239	699
0	486	185	374	1045
0	1098	276	992	2366
0	1300	347	1144	2791
0	948	313	823	2084
0	868	269	737	1874
0	763	211	641	1615
0	984	277	821	2082
0	1198	473	1095	2766
0	937	303	764	2004
0	1048	355	931	2334
0	612	216	560	1388
0	809	193	623	1625
0	1025	313	868	2206
0	1475	318	1387	3180
0	1222	313	1051	2586
0	1442	559	1315	3316
0	1295	479	1173	2947
0	1594	532	1481	3607
0	1615	475	1511	3601
0	2051	550	1912	4513
0	1705	701	1598	4004
0	1889	579	1718	4186
0	2221	654	2004	4879
0	1956	549	1751	4256
