periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	16	42	58
0	42	31	32	105
0	57	35	32	124
0	57	31	36	124
0	55	35	36	126
0	63	37	37	137
0	75	40	43	158
0	68	35	36	139
0	74	33	48	155
0	68	21	45	134
0	63	33	35	131
0	48	28	36	112
0	60	31	31	122
0	56	37	30	123
0	58	25	39	122
0	71	40	37	148
0	108	37	79	224
0	93	29	61	183
0	73	41	49	163
0	81	52	51	184
0	82	41	50	173
0	66	28	35	129
0	69	38	41	148
0	84	35	48	167
0	53	31	31	115
0	52	24	37	113
0	34	16	9	59
0	43	25	24	92
0	0	0	0	0
0	50	19	20	89
0	42	10	17	69
0	68	27	44	139
0	40	28	35	103
0	23	26	17	66
0	96	36	78	210
0	36	8	19	63
0	90	18	61	169
0	35	14	27	76
0	55	31	43	129
0	44	23	35	102
0	74	27	60	161
0	68	16	44	128
0	122	37	81	240
0	147	46	109	302
0	156	60	139	355
0	298	43	249	590
0	442	115	384	941
0	492	120	444	1056
0	474	90	433	997
0	327	89	281	697
0	464	128	426	1018
0	367	89	326	782
0	760	194	721	1675
0	1316	257	1231	2804
0	992	279	948	2219
0	1366	367	1304	3037
0	1235	325	1171	2731
0	961	207	912	2080
0	941	205	890	2036
0	1331	307	1245	2883
0	962	249	904	2115
0	994	231	930	2155
0	1017	285	976	2278
0	1109	325	1081	2515
