periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	3	8	11
0	6	2	5	13
0	21	6	13	40
0	34	14	30	78
0	29	14	22	65
0	21	5	16	42
0	15	26	11	52
0	45	23	41	109
0	130	42	107	279
0	37	23	31	91
0	6	0	6	12
0	45	16	34	95
0	128	26	111	265
0	83	27	75	185
0	140	39	118	297
0	70	52	59	181
0	87	30	44	161
0	122	59	110	291
0	53	23	46	122
0	45	22	35	102
0	66	16	51	133
0	53	21	42	116
0	111	31	102	244
0	33	12	22	67
0	33	18	29	80
0	31	12	28	71
0	26	5	15	46
0	83	43	73	199
0	16	11	15	42
0	73	27	59	159
0	47	33	34	114
0	27	14	20	61
0	2	0	0	2
0	30	29	22	81
0	39	23	30	92
0	67	29	56	152
0	39	26	29	94
0	83	35	58	176
0	84	26	65	175
0	116	35	77	228
0	145	54	97	296
0	125	51	92	268
0	174	46	141	361
0	586	119	451	1156
0	502	93	456	1051
0	477	100	417	994
0	468	122	351	941
0	560	104	459	1123
0	549	132	506	1187
0	544	162	491	1197
0	494	104	441	1039
0	635	218	553	1406
0	737	191	649	1577
0	677	186	541	1404
0	727	175	653	1555
0	1036	311	955	2302
0	927	324	828	2079
0	1028	250	944	2222
0	811	193	732	1736
0	755	229	665	1649
0	607	227	549	1383
0	746	165	663	1574
0	694	201	634	1529
0	875	242	761	1878
