periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	29	90	119
0	55	28	30	113
0	47	27	31	105
0	68	49	52	169
0	162	40	105	307
0	31	21	23	75
0	65	49	51	165
0	47	37	40	124
0	42	20	40	102
0	123	2	13	138
0	118	15	15	148
0	163	20	53	236
0	139	29	29	197
0	18	11	15	44
0	56	24	52	132
0	125	19	20	164
0	16	13	12	41
0	27	24	25	76
0	26	13	13	52
0	19	8	6	33
0	34	31	34	99
0	15	7	9	31
0	68	46	52	166
0	77	33	33	143
0	40	13	14	67
0	140	21	17	178
0	59	25	40	124
0	33	18	29	80
0	7	4	6	17
0	50	25	29	104
0	51	22	38	111
0	74	17	40	131
0	33	22	30	85
0	50	24	46	120
0	41	21	27	89
0	82	30	20	132
0	62	33	37	132
0	63	30	41	134
0	51	61	31	143
0	56	21	28	105
0	53	26	28	107
0	77	44	57	178
0	131	57	97	285
0	204	88	108	400
0	206	90	106	402
0	283	94	158	535
0	446	107	287	840
0	177	86	130	393
0	211	75	161	447
0	273	83	166	522
0	202	115	147	464
0	373	112	295	780
0	584	198	459	1241
0	760	270	609	1639
0	994	375	874	2243
0	1139	393	1015	2547
0	1338	383	1162	2883
0	1719	315	1566	3600
0	1011	258	890	2159
0	1505	360	1352	3217
0	972	250	846	2068
0	1080	325	963	2368
0	1256	347	1109	2712
0	997	286	883	2166
