periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	318	666	984
0	988	374	723	2085
0	1062	461	717	2240
0	979	645	689	2313
0	1395	398	991	2784
0	1210	474	863	2547
0	1103	486	791	2380
0	1110	459	870	2439
0	1001	419	787	2207
0	982	386	735	2103
0	802	398	595	1795
0	860	357	604	1821
0	933	342	763	2038
0	846	480	646	1972
0	1155	377	785	2317
0	960	418	730	2108
0	881	330	634	1845
0	1301	505	859	2665
0	1097	562	770	2429
0	1003	346	710	2059
0	1159	432	850	2441
0	924	438	606	1968
0	334	107	246	687
0	460	300	345	1105
0	676	272	401	1349
0	585	300	427	1312
0	557	286	367	1210
0	728	358	490	1576
0	649	186	355	1190
0	752	353	472	1577
0	887	422	529	1838
0	91	108	86	285
0	127	102	112	341
0	120	120	106	346
0	316	217	277	810
0	228	125	157	510
0	336	138	284	758
0	862	318	825	2005
0	977	266	896	2139
0	891	324	853	2068
0	855	287	781	1923
0	1024	470	940	2434
0	1386	424	1179	2989
0	971	197	859	2027
0	1134	238	1067	2439
0	787	235	736	1758
0	1514	369	1309	3192
0	1024	207	974	2205
0	959	232	921	2112
0	823	255	749	1827
0	796	287	730	1813
0	2097	496	2065	4658
0	2621	601	2569	5791
0	12055	2685	11903	26643
0	4023	845	3963	8831
0	6911	1676	6811	15398
0	5699	1375	5654	12728
0	3185	1031	3100	7316
0	2766	625	2704	6095
0	2147	578	2097	4822
0	2042	729	1997	4768
0	1451	470	1428	3349
0	1991	702	1939	4632
0	1866	521	1811	4198
