periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	11	24	35
0	45	18	33	96
0	86	25	46	157
0	47	35	35	117
0	58	27	36	121
0	68	12	37	117
0	109	50	85	244
0	42	12	31	85
0	134	35	108	277
0	107	59	89	255
0	80	44	68	192
0	78	36	67	181
0	63	20	52	135
0	71	38	59	168
0	71	53	54	178
0	80	32	58	170
0	89	37	50	176
0	139	61	114	314
0	123	68	85	276
0	164	56	107	327
0	127	72	99	298
0	125	85	97	307
0	114	70	87	271
0	109	42	82	233
0	87	39	55	181
0	80	43	48	171
0	68	55	53	176
0	107	52	75	234
0	58	17	42	117
0	138	37	108	283
0	142	67	88	297
0	157	90	122	369
0	173	56	111	340
0	123	68	82	273
0	137	64	97	298
0	132	57	89	278
0	152	68	105	325
0	167	71	130	368
0	114	84	82	280
0	135	70	113	318
0	145	59	113	317
0	529	135	479	1143
0	692	163	650	1505
0	826	146	780	1752
0	669	152	631	1452
0	518	135	483	1136
0	1081	216	1033	2330
0	1097	201	1058	2356
0	572	184	538	1294
0	523	168	504	1195
0	417	130	396	943
0	882	196	853	1931
0	4542	809	4489	9840
0	16597	2958	16396	35951
0	4088	864	4018	8970
0	5119	1042	5022	11183
0	5199	1056	5134	11389
0	6298	1285	6199	13782
0	6241	1258	6116	13615
0	7102	1549	6990	15641
0	2274	589	2224	5087
0	2486	818	2392	5696
0	2714	919	2612	6245
0	2581	801	2506	5888
