periodname	PW	Under_5yrs	Above_5yrs	Total_incidence_cases
0	0	7	8	15
0	31	3	19	53
0	18	7	10	35
0	60	20	50	130
0	55	20	49	124
0	87	32	76	195
0	106	49	83	238
0	116	45	98	259
0	123	25	90	238
0	58	16	44	118
0	89	31	68	188
0	50	20	37	107
0	61	22	50	133
0	54	20	32	106
0	33	28	24	85
0	52	24	35	111
0	103	32	88	223
0	99	46	79	224
0	156	61	124	341
0	104	35	84	223
0	88	18	56	162
0	72	23	66	161
0	65	38	50	153
0	91	27	74	192
0	90	21	50	161
0	80	29	56	165
0	77	32	51	160
0	84	36	62	182
0	2	1	1	4
0	101	37	69	207
0	117	29	95	241
0	115	94	77	286
0	109	58	73	240
0	135	48	100	283
0	53	24	33	110
0	112	36	92	240
0	160	48	108	316
0	155	41	112	308
0	176	35	105	316
0	106	23	85	214
0	191	57	155	403
0	288	74	215	577
0	340	80	282	702
0	1352	241	1197	2790
0	3160	632	2986	6778
0	3761	613	3601	7975
0	3956	781	3790	8527
0	3222	680	2866	6768
0	2159	571	2061	4791
0	2448	576	2330	5354
0	2891	582	2742	6215
0	3353	777	3215	7345
0	3325	644	3172	7141
0	24442	3584	23207	51233
0	8916	1729	8503	19148
0	7358	1447	7019	15824
0	5704	1188	5397	12289
0	4918	1553	4657	11128
0	3569	1448	3330	8347
0	5437	2060	5044	12541
0	4040	1048	3784	8872
0	3191	896	2882	6969
0	2966	980	2754	6700
0	3284	1008	2966	7258
