LGA,group,order,seasonal_order,rmse,mae,mase,aic,status
Aba North,PW,"(0, 1, 1)","(0, 1, 1, 12)",1617.3924230068594,1572.5833333333333,16.783173247954462,1248.1501132645376,ok
Aba North,PW,"(1, 1, 0)","(0, 1, 1, 12)",1617.389894857792,1572.5785659477106,16.783122368705556,1129.315205877408,ok
Aba North,PW,"(1, 1, 1)","(0, 1, 1, 12)",1617.3924230068594,1572.5833333333333,16.783173247954462,838.5441728507899,ok
Aba North,PW,"(0, 1, 1)","(1, 0, 0, 12)",1617.3857925155717,1572.5764387307797,16.78309966628367,56.317021888514596,ok
Aba North,PW,"(1, 0, 1)","(1, 0, 0, 12)",1103.3526536701536,1040.7085372937274,11.106814698972544,51.67151234694523,ok
Aba North,PW,"(1, 0, 0)","(1, 0, 0, 12)",1100.853899819092,1037.118534838912,11.068500905431291,73.856860672792,ok
Aba North,U5,"(0, 1, 1)","(0, 1, 1, 12)",546.4746105721656,523.8333333333334,16.44688644688645,932.8825305626552,ok
Aba North,U5,"(1, 1, 0)","(0, 1, 1, 12)",546.4732952563779,523.8320125948261,16.44684497942939,831.4742043619437,ok
Aba North,U5,"(1, 1, 1)","(0, 1, 1, 12)",546.47408489777,523.8327668866497,16.446868662061213,1044.2224012213283,ok
Aba North,U5,"(0, 1, 1)","(1, 0, 0, 12)",546.4607883416589,523.8154895120222,16.446326201319376,49.79273328639024,ok
Aba North,U5,"(1, 0, 1)","(1, 0, 0, 12)",419.0096874312137,388.3990932740134,12.194634011742963,47.91134967922012,ok
Aba North,U5,"(1, 0, 0)","(1, 0, 0, 12)",426.23176951035686,396.78692290845083,12.45798816039092,59.77251809186301,ok
Aba North,A5,"(0, 1, 1)","(0, 1, 1, 12)",1401.6386540997885,1357.9166666666667,18.24543724107043,969.1392003219177,ok
Aba North,A5,"(1, 1, 0)","(0, 1, 1, 12)",1401.6326943048948,1357.9102180411942,18.24535059511178,944.6496782168026,ok
Aba North,A5,"(1, 1, 1)","(0, 1, 1, 12)",1401.6350963549207,1357.9125085756784,18.245381371524065,763.745697734441,ok
Aba North,A5,"(0, 1, 1)","(1, 0, 0, 12)",1401.6353279632415,1357.9131008213756,18.245389329141762,62.808278019295834,ok
Aba North,A5,"(1, 0, 1)","(1, 0, 0, 12)",869.6514104405778,796.1195810042026,10.696937601668829,60.227742014610044,ok
Aba North,A5,"(1, 0, 0)","(1, 0, 0, 12)",962.7334269891561,900.433757971293,12.09853890455214,76.8984444308046,ok
Aba South,PW,"(0, 1, 1)","(0, 1, 1, 12)",1844.2650523537372,1808.0833333333333,7.222222222222222,1148.507490212382,ok
Aba South,PW,"(1, 1, 0)","(0, 1, 1, 12)",1844.2634756607338,1808.0813818263443,7.222214427107427,1063.8558317281704,ok
Aba South,PW,"(1, 1, 1)","(0, 1, 1, 12)",1844.26244673889,1808.0801340976295,7.2222094431700805,1114.9367458993838,ok
Aba South,PW,"(0, 1, 1)","(1, 0, 0, 12)",1844.2542936989387,1808.0715734696332,7.22217524853059,-14.830304287756437,ok
Aba South,PW,"(1, 0, 1)","(1, 0, 0, 12)",489.1454849525822,383.422007188136,1.5315438673382704,-15.376825498361608,ok
Aba South,PW,"(1, 0, 0)","(1, 0, 0, 12)",471.82968899588,368.7673805813284,1.4730073120883898,-7.002103075805014,ok
Aba South,U5,"(0, 1, 1)","(0, 1, 1, 12)",698.7803064387739,683.25,7.0041004613018965,1227.8710293139902,ok
Aba South,U5,"(1, 1, 0)","(0, 1, 1, 12)",698.7802645569876,683.2499623718962,7.004100075570438,1128.647809814342,ok
Aba South,U5,"(1, 1, 1)","(0, 1, 1, 12)",698.7794202724814,683.2491995568729,7.004092255836729,1076.7912627571327,ok
Aba South,U5,"(0, 1, 1)","(1, 0, 0, 12)",698.7744212231217,683.2448406848538,7.004047572371643,4.360052584353859,ok
Aba South,U5,"(1, 0, 1)","(1, 0, 0, 12)",165.18391947699772,135.83942630435004,1.3925107770820098,4.658467699295995,ok
Aba South,U5,"(1, 0, 0)","(1, 0, 0, 12)",164.55760005594985,142.58176110465408,1.461627484414701,12.15440732054886,ok
Aba South,A5,"(0, 1, 1)","(0, 1, 1, 12)",1523.1654265596585,1487.75,6.591714665485157,1230.3429615351606,ok
Aba South,A5,"(1, 1, 0)","(0, 1, 1, 12)",1523.1621940666594,1487.7458163840322,6.5916961293045295,1228.5412317022597,ok
Aba South,A5,"(1, 1, 1)","(0, 1, 1, 12)",1523.165094817802,1487.7497211254395,6.591713429886751,1256.679756165985,ok
Aba South,A5,"(0, 1, 1)","(1, 0, 0, 12)",1523.1589135819029,1487.7428800945297,6.591683119603588,-2.1282110734337394,ok
Aba South,A5,"(1, 0, 1)","(1, 0, 0, 12)",439.41204033783805,334.28940678808993,1.4811227593623835,-3.401472034622831,ok
Aba South,A5,"(1, 0, 0)","(1, 0, 0, 12)",418.39782842288855,326.1203995468229,1.4449286643634156,6.951576552785649,ok
Arochukwu,PW,"(0, 1, 1)","(0, 1, 1, 12)",5517.945443429707,5116.083333333333,26.951578207998594,1010.1062606206825,ok
Arochukwu,PW,"(1, 1, 0)","(0, 1, 1, 12)",5517.8859164363075,5116.046689843786,26.95138516972889,1017.1903992557916,ok
Arochukwu,PW,"(1, 1, 1)","(0, 1, 1, 12)",5517.8953274987325,5116.053187929907,26.951419401711615,1041.2009647578807,ok
Arochukwu,PW,"(0, 1, 1)","(1, 0, 0, 12)",5517.940091743151,5116.075784411451,26.951538440202565,98.04479011601401,ok
Arochukwu,PW,"(1, 0, 1)","(1, 0, 0, 12)",3982.8025093073993,3308.8892213117665,17.431261537267307,97.45289188315314,ok
Arochukwu,PW,"(1, 0, 0)","(1, 0, 0, 12)",3783.1365561088974,2857.970248213564,15.055815873639215,107.40615283239906,ok
Arochukwu,U5,"(0, 1, 1)","(0, 1, 1, 12)",971.2443050026085,906.5,27.44890234670704,1296.9280527009048,ok
Arochukwu,U5,"(1, 1, 0)","(0, 1, 1, 12)",971.2391859750916,906.4959056429383,27.44877836920328,1046.8998791382437,ok
