LGA,group,selected_method,selected_order,selected_seasonal_order,validation_rmse,validation_mae,validation_mase,seasonal_naive_rmse,seasonal_naive_mae,sarima_beats_naive,aic_full_fit,ljung_box_pvalue,forecast_warning
Aba North,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",1100.853899819092,1037.118534838912,11.068500905431291,1295.6510589918362,1238.3333333333333,True,86.41235195608729,0.8003178819058846,
Aba North,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",419.0096874312137,388.3990932740134,12.194634011742963,448.72226005254817,421.1666666666667,True,66.6822316704802,0.4286450606865689,
Aba North,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",869.6514104405778,796.1195810042026,10.696937601668829,1163.0092074728673,1105.9166666666667,True,75.46736940249353,0.5854764976335538,
Aba South,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",471.82968899588,368.7673805813284,1.4730073120883898,966.2635078831585,809.0,True,4.366412924092106,0.6367928004658898,
Aba South,U5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",164.55760005594985,142.58176110465408,1.461627484414701,367.0868425863286,298.4166666666667,True,16.224111471626966,0.9468110556281109,
Aba South,A5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",418.39782842288855,326.1203995468229,1.4449286643634156,867.457443720824,734.25,True,19.272808516674942,0.6229861373983308,
Arochukwu,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",3783.1365561088974,2857.970248213564,15.055815873639215,5005.922475761418,4490.833333333333,True,130.25317298606345,0.15811968150287659,
Arochukwu,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",773.0762521495008,675.6508083223332,20.458767852303808,876.0647331485651,801.9166666666666,True,93.68462254284005,0.7968255824489314,
Arochukwu,A5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",3794.8931298906427,2926.9987949067377,16.536716355405296,4920.1959310580305,4405.0,True,131.16516130627485,0.20159598325717087,
Bende,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2573.6054768322965,1976.9273073679517,6.476420335357745,3290.054330858383,2749.5,True,145.6881477007068,0.06126389098011021,
Bende,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",640.2164168496377,572.3528483461045,5.655660556779688,710.7137257714951,655.5,True,143.30410035461674,0.43409023684503095,
Bende,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",2615.335090560115,1790.4465363506563,6.167042233189206,3221.4553517522686,2692.4166666666665,True,136.94010324314678,0.5806310261034497,
Ikwuano,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2425.8065149492204,1704.295207569343,4.249847783976916,2863.451821374568,1995.8333333333333,True,149.1657426416006,0.6706875801184973,
Ikwuano,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",416.31197297571345,357.4435532920019,3.7794718825482625,484.96340068091735,406.0,True,121.29136223490869,0.5112168245158799,
Ikwuano,A5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2248.9894715484866,1462.8016698675435,3.9114958750385544,2798.6064538147075,1960.9166666666667,True,146.14427722480303,0.6924447092789789,
Isiala Ngwa North,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2966.580786470138,2533.9360833170413,8.702450702557023,3301.707550647089,2797.5833333333335,True,134.83241272470104,0.9370384198629821,
Isiala Ngwa North,U5,seasonal-naive fallback after validation,"(1, 0, 1)","(1, 0, 0, 12)",905.187670232136,831.1618146414609,13.384248222889868,903.7954230171043,823.5,False,,,Best SARIMA validation RMSE was not better than seasonal naive
Isiala Ngwa North,A5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2936.891152667184,2550.4074287687595,11.476689970834782,3137.106881082207,2660.4166666666665,True,147.48912139218345,0.9355918501050557,
Isiala Ngwa South,PW,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",648.3951064038541,582.7422466993817,4.542028423221993,924.9936486268433,890.4166666666666,True,128.75187392872658,0.967555325587935,
Isiala Ngwa South,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",173.27369443465497,144.6773951874071,3.7073003251097267,250.1482893538684,234.0,True,113.68882120440631,0.9590697740136124,
Isiala Ngwa South,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",526.2486600114688,450.91975247682785,4.213218897237354,908.705030982735,872.8333333333334,True,124.31156748862455,0.9510573314478461,
Isuikwato,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2794.344418325007,1958.2468506858952,8.35251375852376,3856.9050308073006,3122.5833333333335,True,97.15600510311688,0.9943944885472362,
Isuikwato,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",597.6013593319202,441.34813311271927,8.2264330496313,747.5651588100309,620.1666666666666,True,105.28279525906606,0.9968815825991664,
Isuikwato,A5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",2771.2363020125676,1954.0537171266544,8.819921991093,3782.351329970992,3062.25,True,95.36498503039542,0.9077541106498226,
Obi Nwa,PW,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",343.50130341546964,301.4682573944487,1.2884635426624584,767.4799671652675,663.6666666666666,True,50.59013043515151,0.9964469091644661,
Obi Nwa,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",194.40727530637963,139.98943612431643,2.3777398917081345,278.32699593583567,226.08333333333334,True,62.89520277119322,0.9998855920732148,
Obi Nwa,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",342.4883581133843,305.20352495718635,1.496279078108525,769.7525035143872,671.9166666666666,True,63.38107882786002,0.9989916534452266,
Ohafia,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",3967.7074113579934,2923.0898211377644,7.923800003084208,5547.520632378637,4817.833333333333,True,71.62346782400894,0.9785985214940827,
Ohafia,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",887.7899602276052,768.5303032058582,9.676176307281816,1170.8610791493015,1105.0,True,75.15857020052607,0.9883544282419673,
Ohafia,A5,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",4037.4220020576863,3097.6925983907477,8.999687967433898,5417.547461721032,4701.666666666667,True,74.59799686950456,0.9792498339011831,
Osisioma Ngwa,PW,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",550.1762208879045,401.9596993183206,1.4926093550624604,810.5052436597804,716.25,True,77.53756648991383,2.698379751892253e-34,
Osisioma Ngwa,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",236.43492459834437,211.12506434876263,2.6590058482211916,258.0784764369164,222.66666666666666,True,36.91610659273587,0.932644261129383,
Osisioma Ngwa,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",693.1654682885331,650.7735371423181,2.867475378463618,783.2892186159593,704.1666666666666,True,47.20803675722407,0.8560964004173489,
Ugwunagbo,PW,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",507.0434505734876,449.6984290494231,5.017555693717413,835.019909942272,796.0833333333334,True,120.23659724642538,0.979919340567354,
Ugwunagbo,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",156.0560101706402,147.10283229099403,6.2265749117881075,206.8725453026573,197.58333333333334,True,105.3515944664855,0.9715696772346771,
Ugwunagbo,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",530.922468632146,488.05490497176356,6.27319929269619,813.6031485517576,778.0833333333334,True,113.49580293806837,0.6998608785087683,
Ukwa East,PW,SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",261.02771505569115,208.17106652742993,1.353958156275967,402.6107508086026,363.4166666666667,True,111.33693686530047,0.25020781019881305,
Ukwa East,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",78.2276643784756,64.37275484906405,1.6973699366925261,131.03593654668427,115.75,True,109.65627428734476,0.7942383724893345,
Ukwa East,A5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",225.97538847991737,183.65816703312768,1.4011685449790403,380.58299576658266,343.25,True,119.0557806560318,0.8394197455873547,
Ukwa West,PW,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",769.3781551156261,710.9384717134463,8.481222448117462,936.5021356088837,893.25,True,104.54711899089618,0.33714529897413276,
Ukwa West,U5,SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",119.52084886988582,97.02220950804995,3.696084171735236,238.16398412298477,231.91666666666666,True,75.24775913606261,0.5714951885684556,
