LGA,date,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
Aba North,2026-05-01,3691.9717720438916,1983.4983483687115,6886.76753175707,1428.6661094492642,9588.431495153614
Aba North,2026-06-01,4026.7081968996467,1911.708002941142,8690.55853134009,1300.1281238222214,13197.713356791079
Aba North,2026-07-01,4342.671994913644,1882.3115266285329,10595.749884959623,1232.5589766577696,17416.94433076889
Aba North,2026-08-01,4717.020749332354,1903.8518003597471,12790.738019318182,1212.3587344983262,22592.9118290405
Aba North,2026-09-01,5062.988564154341,1919.9810484140824,15153.411060639803,1194.1473762989685,28692.023387426212
Aba North,2026-10-01,5422.443433232854,1945.4846278112009,17811.097358144314,1185.4235026512242,36066.534154217385
Aba North,2026-11-01,5809.865219787318,1984.5466143086255,20823.077607038893,1187.5644099062247,44976.79335035203
Aba North,2026-12-01,6358.118678445961,2086.247391038941,24518.223896549887,1228.4320208744098,56045.39646633097
Aba North,2027-01-01,6770.354341835814,2128.3030159162267,28359.59987350177,1233.6164886295928,69031.77219734782
Aba North,2027-02-01,7362.6684907148765,2234.451350627443,33032.90170644052,1276.3392361370397,84944.8382913931
Aba North,2027-03-01,8024.553223414074,2356.2590780222563,38413.97268798418,1326.658923894211,104144.48446543959
Aba North,2027-04-01,8742.22877775405,2483.850855041386,44669.71887691019,1378.3641440159859,127708.58800563203
Aba North,2027-05-01,9581.89134019901,2631.183501749948,51955.99441536659,1436.589550703714,155765.21192608503
Aba North,2027-06-01,10505.601949590266,2797.9837238282194,60215.22608665307,1504.9048799514542,189059.71550901514
Aba North,2027-07-01,11513.20654648556,2978.5323575032126,69598.65919058735,1578.7996048391144,228627.66520795494
Aba North,2027-08-01,12651.114543799884,3182.2320228489516,80433.26737547941,1662.332581110663,276015.0588056152
Aba North,2027-09-01,13901.276607426797,3403.954688721012,92762.82228732423,1752.9262942543485,332260.4637759884
Aba North,2027-10-01,15295.257842115487,3649.2766719562733,106881.65687347774,1852.7914668447947,399163.30477204913
Aba North,2027-11-01,16856.922110678162,3921.6138761339516,123080.2822906093,1963.0896263276788,478753.9780479119
Aba North,2027-12-01,18665.39530555355,4233.177055717191,142021.4611822829,2088.3152925722316,574324.2887816975
Aba North,2028-01-01,20626.668420221373,4567.0043090894305,163327.17980211877,2221.537418629961,686637.8105258282
Aba North,2028-02-01,22898.12697327686,4947.450159585733,188234.7525608418,2371.848623654721,821258.1057569135
Aba North,2028-03-01,25473.674964369573,5371.572860038299,216992.57393527374,2537.6879358870747,981447.6034447224
Aba North,2028-04-01,28386.511220945824,5842.983480243269,250119.21454646875,2720.056283418507,1171653.5784992208
Aba South,2026-05-01,3835.5528095583395,2758.571669128275,5335.267442603663,2317.281225830313,6354.885288737077
Aba South,2026-06-01,4000.412022064521,2509.3796636785532,6382.945689165625,1961.0506731257449,8177.125848864529
Aba South,2026-07-01,4043.864852821665,2280.6828609543327,7179.538865841179,1684.9962668097598,9734.498744233726
Aba South,2026-08-01,4213.710540172024,2174.930835854694,8178.326953039343,1533.475713432786,11626.829397956222
Aba South,2026-09-01,4223.3770296284465,2012.0742216925953,8884.944897854391,1359.9335918001207,13184.543847770055
Aba South,2026-10-01,4376.1695286905815,1939.2282725001814,9902.437798358855,1261.590466616657,15275.600408269243
Aba South,2026-11-01,4433.268636428707,1836.4457387482153,10736.337431177344,1152.9953864705476,17171.585151931395
Aba South,2026-12-01,4615.20071584116,1798.100365855612,11890.315212056132,1093.0511964521966,19655.1908931516
Aba South,2027-01-01,4624.144314300757,1695.9988189277844,12660.74257333687,998.6637475403252,21618.150627510317
Aba South,2027-02-01,4766.5508124296675,1653.6343373484624,13804.810143524737,945.6149283392507,24289.031283972545
Aba South,2027-03-01,4933.314989371185,1622.5179877286557,15079.512854732577,902.1113507497388,27306.68975682614
Aba South,2027-04-01,5030.93288887667,1571.2161650791704,16202.964591773383,850.1168146270195,30171.268937118333
Aba South,2027-05-01,5161.4583346980335,1528.49991439085,17530.010200270623,803.948134390695,33573.34190766191
Aba South,2027-06-01,5307.2872337551025,1493.3290104193993,18971.676571691067,764.4021058392302,37334.01228535519
Aba South,2027-07-01,5432.051849591391,1454.3795529875065,20408.70435421422,725.1004095353705,41237.81691461617
Aba South,2027-08-01,5594.262252721506,1427.747347129034,22053.472352196914,693.971094060837,45715.11452772828
Aba South,2027-09-01,5728.340692447977,1395.048305318633,23670.934799139246,661.4513095770835,50313.45317121099
Aba South,2027-10-01,5871.387910714773,1366.2331681672288,25400.084243930945,632.3597299451793,55323.81767905632
Aba South,2027-11-01,6016.146414796416,1338.9327964782833,27221.036490892147,605.2891345102832,60726.18514347501
Aba South,2027-12-01,6192.536420889683,1319.7949698838515,29269.92687923553,583.1349309729999,66836.72033440354
Aba South,2028-01-01,6335.528842050873,1293.7603581593962,31266.972443120125,558.8591299066258,73062.40887998698
