LGA,prevalence,burden,recommended_mix,scenario,bau_cases_24m,scenario_cases_24m,cases_averted_24m,cases_averted_low_24m,cases_averted_high_24m,percent_averted,target_coverage_CM,target_coverage_IPTp,target_coverage_Dual AI,target_coverage_PMC,target_coverage_Vac,target_coverage_LSM,target_coverage_Pyr,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,programme_cost_ngn,treatment_savings_ngn,net_cost_ngn,net_cost_per_case_averted_ngn,net_monetary_benefit_ngn
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,BAU,276687.2412671912,276687.2412671912,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 1,276687.2412671912,261109.8571710982,15577.384096092977,2624.6770101760867,293336.4951107628,5.629961115933863,0.65,0.55,0.5,0.45,0.35,,,474933.25957916543,220710.38389762645,254222.87568153895,712399889.3687482,331065575.84643966,381334313.5223084,24479.99684478168,1955273300.8916383
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 2,276687.2412671912,244812.48291291014,31874.758354281024,5281.396284635723,592521.560516844,11.520140288471135,0.75,0.65,0.6,0.6,0.5,,,962846.0747579416,451622.05089248193,511224.0238654597,1444269112.1369126,677433076.338723,766836035.7981895,24057.783506151587,4014377717.343964
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,Target,276687.2412671912,225574.40486032225,51112.836406868926,8455.239174258742,949827.8917628935,18.473145408794007,0.85,0.75,0.75,0.75,0.65,,,1496973.5658513242,724199.4981869954,772774.0676643288,2245460348.776986,1086299247.280493,1159161101.4964933,22678.473412614538,6507764359.533846
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,High,276687.2412671912,213339.57861392415,63347.662653267034,10377.799840167863,1200564.7480643063,22.895042923968255,0.9,0.85,0.85,0.85,0.75,,,1794974.158169783,897550.3754013905,897423.7827683925,2692461237.2546744,1346325563.1020858,1346135674.1525886,21249.965946188928,8156013723.837466
Aba North,11.54,Moderate,CM + IPTp + Dual AI + PMC + Vac,Maximum,276687.2412671912,206192.22600772284,70495.01525946833,11523.63054368077,1338215.9430687204,25.478231282588396,0.95,0.9,0.9,0.9,0.85,,,2044659.2671260322,998818.6581782172,1045840.6089478149,3066988900.6890483,1498227987.2673259,1568760913.4217224,22253.50129576742,9005491375.498528
Aba South,11.72,Moderate,CM + IPTp + Dual AI + PMC + Vac + LSM,BAU,124800.18836935727,124800.18836935727,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Aba South,11.72,Moderate,CM + IPTp + Dual AI + PMC + Vac + LSM,Scenario 1,124800.18836935727,111702.14027060303,13098.048098754263,2879.6446935890463,61893.653224345886,10.495215007199688,0.65,0.55,0.5,0.45,0.35,0.25,,734878.0445279778,185581.55890312165,549296.4856248562,1102317066.7919667,278372338.3546825,823944728.4372844,62905.91714315422,1140762486.375855
Aba South,11.72,Moderate,CM + IPTp + Dual AI + PMC + Vac + LSM,Scenario 2,124800.18836935727,99152.72653033264,25647.461839024647,5523.879185144047,124186.2841276878,20.550819813763983,0.75,0.65,0.6,0.6,0.5,0.4,,1521682.6477797432,363389.7138037847,1158292.9339759585,2282523971.669615,545084570.705677,1737439400.9639378,67743.13231729956,2109679874.889759
Aba South,11.72,Moderate,CM + IPTp + Dual AI + PMC + Vac + LSM,Target,124800.18836935727,86540.58162491504,38259.606744442244,8057.145752414616,190708.16338887447,30.656689901147846,0.85,0.75,0.75,0.75,0.65,0.55,,2493365.615682715,542086.6841471804,1951278.9315355346,3740048423.5240726,813130026.2207706,2926918397.303302,76501.52854037055,2812022614.363035
