LGA,prevalence,recommended_mix,planning_scenario,forecast_bau_cases_24m,projected_cases_with_mix_24m,cases_averted_24m,percent_averted,programme_cost_ngn,net_cost_per_case_averted_ngn,recommendation_basis
Ukwa East,21.11,CM + IPTp + Dual AI + PMC + Vac,High,92016.54688240882,71094.47380101646,20922.073081392387,22.737294313086363,1045646411.4859768,28725.181931079453,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Ugwunagbo,17.63,CM + IPTp + Dual AI + PMC + Vac,High,250548.08893499654,193940.9220815368,56607.16685345975,22.593334115650027,2377105086.988451,20740.042302928134,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Ukwa West,17.23,CM + IPTp + Dual AI + PMC + Vac,High,192354.2503891291,132772.74815215796,59581.50223697113,30.97488208159625,1981015775.4162166,11995.875488149744,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Arochukwu,13.02,CM + IPTp + Dual AI + PMC + Vac,Target,974339.9295080382,794024.873513667,180315.05599437119,18.50638063097912,6874504684.967213,16871.9986360388,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Obi Nwa,12.87,CM + IPTp + Dual AI + PMC + Vac,Target,105309.81705212174,85953.48956986304,19356.327482258697,18.380363791419875,1671676961.8515236,65110.36978737243,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Aba South,11.72,CM + IPTp + Dual AI + PMC + Vac + LSM,Target,124800.18836935727,86540.58162491504,38259.606744442244,30.656689901147846,3740048423.5240726,76501.52854037055,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Aba North,11.54,CM + IPTp + Dual AI + PMC + Vac,Target,276687.2412671912,225574.40486032225,51112.836406868926,18.473145408794007,2245460348.776986,22678.473412614538,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Isiala Ngwa North,11.47,CM + IPTp + Dual AI + PMC + Vac,Target,88338.7868146988,70985.94162954972,17352.845185149105,19.64351765612174,1367901614.854958,57575.70119488827,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Osisioma Ngwa,10.48,CM + IPTp + Pyr + PMC + Vac,Target,233675.25082857563,198171.19174959685,35504.05907897877,15.193760979430627,2575880283.188395,51298.7488814397,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Ohafia,8.98,CM + IPTp + Dual AI + PMC,Scenario 2,634837.8637307053,564487.4646199655,70350.39911073982,11.0816325127989,3063725365.051613,22296.54585253616,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Isiala Ngwa South,8.29,CM + IPTp + Dual AI + PMC,Scenario 2,189110.79384667694,169681.44832972935,19429.34551694757,10.274054231246083,1077750071.252525,34217.25653544523,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Bende,8.1,CM + IPTp + Dual AI + PMC,Scenario 2,410702.4027154873,371327.1189878366,39375.28372765078,9.587302988078177,2077113041.3958495,31498.73361003763,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Ikwuano,7.99,CM + IPTp + Dual AI + PMC,Scenario 2,127967.77868161231,114182.51314935536,13785.265532256952,10.77245043578908,812803100.3361133,37708.7661985374,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Umu Neochi,7.83,CM + IPTp + Dual AI + PMC,Scenario 2,316360.7554361473,284181.13300295256,32179.622433194727,10.171812363019125,1592625922.401451,28238.78940168356,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Isuikwato,6.07,CM + IPTp + Dual AI + PMC + LSM,Scenario 2,227168.16596322536,180829.03870050513,46339.127262720234,20.39860077499668,1247720639.2261295,5672.891867922597,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Umuahia South,4.06,CM + IPTp + Dual AI + PMC,Scenario 1,346246.6677897536,329169.74875337863,17076.91903637495,4.932009640810269,790613948.2140673,25044.26062347864,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
Umuahia North,3.66,CM + IPTp + Dual AI + PMC,Scenario 1,97769.27677518417,93277.58514751005,4491.691627674149,4.594174955392767,458908116.6459121,80915.25164485253,Prevalence-based minimum planning scenario; coverage and cost assumptions are editable.
