LGA,scenario,incremental_net_cost_ngn,incremental_cases_averted,incremental_cost_per_case_averted_ngn
Aba North,BAU,0.0,0.0,
Aba North,Scenario 1,381334313.5223084,15577.384096092977,24479.99684478168
Aba North,Scenario 2,385501722.2758811,16297.374258188047,23654.222831766856
Aba North,Target,392325065.6983038,19238.0780525879,20393.152820456944
Aba North,High,186974572.65609527,12234.826246398108,15282.160031585243
Aba North,Maximum,222625239.2691338,7147.352606201297,31147.930084766806
Aba South,BAU,0.0,0.0,
Aba South,Scenario 1,823944728.4372844,13098.048098754263,62905.91714315422
Aba South,Scenario 2,913494672.5266534,12549.413740270384,72791.82051312078
Aba South,Target,1189478996.339364,12612.144905417597,94312.18918428526
Aba South,High,795118688.1044164,9368.895410129357,84867.92234277255
Aba South,Maximum,533626591.08998775,5526.9884503237845,96549.25026281294
Arochukwu,BAU,0.0,0.0,
Arochukwu,Scenario 1,1037200520.3239193,56326.53309938205,18414.066395563375
Arochukwu,Scenario 2,1072360433.1527114,56124.12022277189,19106.94419611784
Arochukwu,Target,932714425.3176594,67864.40267221724,13743.794811289186
Arochukwu,High,297911776.1723261,45318.58878261267,6573.721383985936
Arochukwu,Maximum,616429467.4074616,24926.987038675725,24729.401369328516
Bende,BAU,0.0,0.0,
Bende,Scenario 1,623127346.1856058,19498.463106969408,31957.767274636073
Bende,Scenario 2,617144226.7713156,19876.82062068137,31048.437702818093
Bende,Target,630693581.4206312,25119.671763751314,25107.55663339308
Bende,High,306176288.17478275,16150.419569198428,18957.791583242368
Bende,Maximum,333572843.3302083,8713.650316903964,38281.642158980925
Ikwuano,BAU,0.0,0.0,
Ikwuano,Scenario 1,263280610.24481326,6699.5014489324585,39298.537697423155
Ikwuano,Scenario 2,256544744.6958204,7085.764083324493,36205.65710049084
Ikwuano,Target,318841384.06072545,8364.314100135434,38119.25045420793
Ikwuano,High,180760912.234362,5439.635434554068,33230.33582105866
Ikwuano,Maximum,142116578.57736158,2856.818364808176,49746.45232193617
Isiala Ngwa North,BAU,0.0,0.0,
Isiala Ngwa North,Scenario 1,290571248.16046244,5333.546036431838,54479.936270477134
Isiala Ngwa North,Scenario 2,310509617.3577581,5716.517166194278,54317.971647844664
Isiala Ngwa North,Target,398021363.7430799,6302.781982522989,63150.10813427388
Isiala Ngwa North,High,245754139.73598158,4100.872937420798,59927.274872004724
Isiala Ngwa North,Maximum,176515426.33117247,2440.9924877663434,72312.97401193349
Isiala Ngwa South,BAU,0.0,0.0,
Isiala Ngwa South,Scenario 1,331566444.87969047,9719.987413120885,34111.81833755394
Isiala Ngwa South,Scenario 2,333252454.98950726,9709.358103826686,34322.81016168975
Isiala Ngwa South,Target,373417620.2315285,11991.172848220842,31141.042244832068
Isiala Ngwa South,High,191933646.08002603,7990.873003130793,24019.1085510716
Isiala Ngwa South,Maximum,178654194.83836055,4254.385345651062,41992.95087855295
Isuikwato,BAU,0.0,0.0,
Isuikwato,Scenario 1,116454278.95690922,23845.49523949256,4883.701419798544
Isuikwato,Scenario 2,146422579.2584067,22493.632023227674,6509.5125192412615
Isuikwato,Target,205604742.18147337,23243.957950077303,8845.513428610793
Isuikwato,High,35241503.544305265,17717.54244973528,1989.0740289905057
Isuikwato,Maximum,102527872.91952223,10177.496261000662,10073.977949999422
Obi Nwa,BAU,0.0,0.0,
Obi Nwa,Scenario 1,368703096.49942,5979.717482552975,61658.94920206268
