LGA,scenario,date,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,cost_CM_usd_2024,cost_IPTp_usd_2024,cost_Dual AI_usd_2024,cost_PMC_usd_2024,cost_Vac_usd_2024,cost_LSM_usd_2024,cost_Pyr_usd_2024
Aba North,BAU,2026-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2026-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2027-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2028-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2028-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2028-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,BAU,2028-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aba North,High,2026-05-01,4032.2261753006023,1321.1929880962807,2711.0331872043216,1525.7149710445967,48.27859512282589,1873.567942484048,34.28272220468662,550.3819444444447,,
Aba North,High,2026-06-01,8341.113390440973,2892.3279363569222,5448.785454084051,3328.090981928963,96.5571902456517,3747.135884968096,68.5654444093732,1100.7638888888887,,
Aba North,High,2026-07-01,12903.388164809603,4626.972211957714,8276.41595285189,5383.854552041588,144.83578536847773,5620.703827452144,102.84816661405982,1651.1458333333333,,
Aba North,High,2026-08-01,17823.319141253407,6664.101166184993,11159.217975068414,7797.274324229385,193.11438049130348,7494.2717699361965,137.1308888187464,2201.5277777777774,,
Aba North,High,2026-09-01,22994.00850183549,8777.462921935945,14216.545579899546,10461.452480555463,241.39297561412948,9367.839712420244,171.41361102343308,2751.9097222222226,,
Aba North,High,2026-10-01,28484.083010928895,11037.507614575057,17446.575396353837,13445.015785392858,289.6715707369554,11241.407654904293,205.69633322811964,3302.2916666666665,,
Aba North,High,2026-11-01,34352.150161708305,13475.255060215628,20876.89510149268,16806.571731916265,337.9501658597813,13114.975597388346,239.97905543280618,3852.6736111111118,,
Aba North,High,2026-12-01,41072.13519092497,16775.024541314375,24297.110649610597,21020.045556876936,386.228760982607,14988.543539872388,274.2617776374929,4403.055555555555,,
