LGA,date,month_index,group,scenario,bau_cases,scenario_cases,cases_averted,cases_averted_low,cases_averted_high,coverage_CM,coverage_IPTp,coverage_Dual AI,coverage_PMC,coverage_Vac,coverage_LSM,coverage_Pyr
Aba North,2026-05-01,1,A5,BAU,1706.0420372575668,1706.0420372575668,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-05-01,1,PW,BAU,1390.2019299104268,1390.2019299104268,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-05-01,1,U5,BAU,595.7278048758981,595.7278048758981,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-06-01,2,A5,BAU,1881.6643354980044,1881.6643354980044,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-06-01,2,PW,BAU,1438.2409277420747,1438.2409277420747,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-06-01,2,U5,BAU,706.8029336595677,706.8029336595677,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-07-01,3,A5,BAU,2067.687310021617,2067.687310021617,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-07-01,3,PW,BAU,1504.840313462789,1504.840313462789,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-07-01,3,U5,BAU,770.1443714292378,770.1443714292378,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-08-01,4,A5,BAU,2283.4586057605497,2283.4586057605497,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-08-01,4,PW,BAU,1563.771182956188,1563.771182956188,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-08-01,4,U5,BAU,869.7909606156163,869.7909606156163,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-09-01,5,A5,BAU,2515.4641292536876,2515.4641292536876,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-09-01,5,PW,BAU,1633.9580279377742,1633.9580279377742,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-09-01,5,U5,BAU,913.5664069628782,913.5664069628782,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-10-01,6,A5,BAU,2768.67114628369,2768.67114628369,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-10-01,6,PW,BAU,1713.7556812837424,1713.7556812837424,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-10-01,6,U5,BAU,940.0166056654211,940.0166056654211,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-11-01,7,A5,BAU,3055.1166196186778,3055.1166196186778,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-11-01,7,PW,BAU,1797.4607914584942,1797.4607914584942,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-11-01,7,U5,BAU,957.2878087101456,957.2878087101456,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-12-01,8,A5,BAU,3394.9945335598454,3394.9945335598454,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-12-01,8,PW,BAU,1865.0357920384927,1865.0357920384927,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2026-12-01,8,U5,BAU,1098.0883528476231,1098.0883528476231,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-01-01,9,A5,BAU,3733.7563665473926,3733.7563665473926,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-01-01,9,PW,BAU,1970.9900684481204,1970.9900684481204,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-01-01,9,U5,BAU,1065.6079068403012,1065.6079068403012,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-02-01,10,A5,BAU,4148.507215939118,4148.507215939118,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-02-01,10,PW,BAU,2057.935159755634,2057.935159755634,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-02-01,10,U5,BAU,1156.2261150201243,1156.2261150201243,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-03-01,11,A5,BAU,4610.053933113327,4610.053933113327,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-03-01,11,PW,BAU,2150.1147376412428,2150.1147376412428,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-03-01,11,U5,BAU,1264.3845526595042,1264.3845526595042,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-04-01,12,A5,BAU,5112.8008014018715,5112.8008014018715,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-04-01,12,PW,BAU,2263.902031140218,2263.902031140218,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-04-01,12,U5,BAU,1365.5259452119603,1365.5259452119603,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-05-01,13,A5,BAU,5709.635826726592,5709.635826726592,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-05-01,13,PW,BAU,2370.8794313779063,2370.8794313779063,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-05-01,13,U5,BAU,1501.3760820945106,1501.3760820945106,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-06-01,14,A5,BAU,6369.0151515265925,6369.0151515265925,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-06-01,14,PW,BAU,2483.625314132306,2483.625314132306,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-06-01,14,U5,BAU,1652.961483931368,1652.961483931368,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-07-01,15,A5,BAU,7114.007542979221,7114.007542979221,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-07-01,15,PW,BAU,2601.9586400740623,2601.9586400740623,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-07-01,15,U5,BAU,1797.2403634322766,1797.2403634322766,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-08-01,16,A5,BAU,7957.524090379141,7957.524090379141,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-08-01,16,PW,BAU,2727.014279615471,2727.014279615471,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-08-01,16,U5,BAU,1966.576173805272,1966.576173805272,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-09-01,17,A5,BAU,8913.32993932848,8913.32993932848,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-09-01,17,PW,BAU,2858.6207946589557,2858.6207946589557,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-09-01,17,U5,BAU,2129.325873439361,2129.325873439361,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-10-01,18,A5,BAU,9998.040435760684,9998.040435760684,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-10-01,18,PW,BAU,2997.2379804426846,2997.2379804426846,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-10-01,18,U5,BAU,2299.9794259121186,2299.9794259121186,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-11-01,19,A5,BAU,11231.15793805487,11231.15793805487,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-11-01,19,PW,BAU,3143.475651407692,3143.475651407692,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-11-01,19,U5,BAU,2482.2885212156025,2482.2885212156025,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-12-01,20,A5,BAU,12635.586406739756,12635.586406739756,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-12-01,20,PW,BAU,3298.403267930282,3298.403267930282,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2027-12-01,20,U5,BAU,2731.4056308835106,2731.4056308835106,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2028-01-01,21,A5,BAU,14235.203452947999,14235.203452947999,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2028-01-01,21,PW,BAU,3460.8865153053725,3460.8865153053725,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2028-01-01,21,U5,BAU,2930.578451968001,2930.578451968001,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
Aba North,2028-02-01,22,A5,BAU,16062.845747072442,16062.845747072442,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,
