LGA,population_2006,population_2026,under5_population_2026,under2_population_2026,annual_births_2026,population_source,projection_growth_rate_percent,abia_state_population_2006,abia_state_population_2016
Aba North,106844,183345,29500,11800,6050,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Aba South,427421,733458,118011,47204,24204,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Arochukwu,169339,290587,46754,18702,9589,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Bende,192621,330539,53183,21273,10908,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Ikwuano,137897,236632,38073,15229,7809,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Isiala Ngwa North,154083,264408,42542,17017,8725,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Isiala Ngwa South,136650,234492,37729,15092,7738,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Isuikwato,115794,198703,31971,12788,6557,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Obi Nwa,181894,312131,50221,20088,10300,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Ohafia,245987,422115,67917,27167,13930,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Osisioma Ngwa,220662,378658,60925,24370,12496,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Ugwunagbo,85371,146497,23571,9428,4834,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Ukwa East,58139,99767,16052,6421,3292,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Ukwa West,87367,149922,24122,9649,4947,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Umuahia North,223134,382900,61607,24643,12636,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Umuahia South,139058,238625,38394,15358,7875,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
Umu Neochi,163119,279913,45037,18015,9237,NPC 2006 final LGA census; projected to 2026 using the Abia 2006-2016 annual growth rate implied by NPC/NBS state estimates,2.7367812442853134,2845380,3727347
