date,LGA,group,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
2026-05-01,Aba North,PW,1390.2019299104268,702.2996495501919,2750.9462167005818,489.1344690192483,3947.7996297409727
2026-06-01,Aba North,PW,1438.2409277420747,545.9197878047761,3786.419095590052,326.70115463399475,6320.047145535408
2026-07-01,Aba North,PW,1504.840313462789,457.7660016668908,4941.726883445431,243.53327616354292,9271.99173848707
2026-08-01,Aba North,PW,1563.771182956188,394.02455537320316,6197.3712701020795,189.6135324708575,12844.409364544752
2026-09-01,Aba North,PW,1633.9580279377742,348.2294812849021,7653.244261633422,153.24988449304183,17328.59322403096
2026-10-01,Aba North,PW,1713.7556812837424,313.49458051012994,9348.563486039662,127.14051298670566,22945.5840112559
2026-11-01,Aba North,PW,1797.4607914584942,285.3503602702638,11294.467606049993,107.25808387198602,29876.318189357826
2026-12-01,Aba North,PW,1865.0357920384927,259.1622887947799,13383.297906125248,90.68051210975595,37979.6951012677
2027-01-01,Aba North,PW,1970.9900684481204,241.42625301111244,16039.939385718133,78.92500347429875,48653.92225231514
2027-02-01,Aba North,PW,2057.935159755634,223.47549612434028,18883.974374796762,68.44902039543352,61039.65929138285
2027-03-01,Aba North,PW,2150.1147376412428,208.00116291729609,22139.042428033863,59.835307232280556,76061.64889613332
2027-04-01,Aba North,PW,2263.902031140218,195.92281573809342,26048.704760903245,53.046442762260185,94913.31717769099
2027-05-01,Aba North,PW,2370.8794313779063,184.82373880690798,30273.991091635733,47.264154744774125,116561.94545596949
2027-06-01,Aba North,PW,2483.625314132306,174.91433192817954,35092.0073971884,42.30612642906052,142550.72329346067
2027-07-01,Aba North,PW,2601.9586400740623,165.9793603884211,40575.23448895445,38.014877393920976,173660.79607658862
2027-08-01,Aba North,PW,2727.014279615471,157.92716952883384,46825.87001756305,34.286998406494476,210899.96199330533
2027-09-01,Aba North,PW,2858.6207946589557,150.60468031507574,53938.17306676147,31.022332446841222,255365.50407402046
2027-10-01,Aba North,PW,2997.2379804426846,143.92067815438045,62029.00911845582,28.14888372553409,308396.0923900045
2027-11-01,Aba North,PW,3143.475651407692,137.8042814716978,71234.02976608065,25.609225529919147,371589.1881916168
2027-12-01,Aba North,PW,3298.403267930282,132.21201691523962,81718.81910127241,23.359117653928706,446897.86058632703
2028-01-01,Aba North,PW,3460.8865153053725,127.02009718207081,93614.44404866779,21.34625691741613,536315.139617666
2028-02-01,Aba North,PW,3633.1800853712252,122.24827184870628,107158.83838800935,19.549820680875698,642693.8973428226
2028-03-01,Aba North,PW,3815.1265190748904,117.82602588112695,122554.82480015974,17.93681109629279,769020.8556617259
2028-04-01,Aba North,PW,4006.8367502696474,113.70361766012492,140036.04281069033,16.48179506162918,918826.578071094
2026-05-01,Aba North,U5,595.7278048758981,343.1898019432026,1033.5573026907055,256.21159395702335,1383.4013313470805
2026-06-01,Aba North,U5,706.8029336595677,371.25768333663945,1344.8016189394282,263.91931932969544,1890.085158170772
2026-07-01,Aba North,U5,770.1443714292378,372.5272050942994,1591.022303802122,253.48961341584203,2335.6912056064934
2026-08-01,Aba North,U5,869.7909606156163,390.14998623838665,1937.5834686639498,255.06520060118433,2960.26492514251
2026-09-01,Aba North,U5,913.5664069628782,381.8989112258023,2183.4713793185224,240.49804045434553,3462.513456139673
2026-10-01,Aba North,U5,940.0166056654211,367.63290315877845,2401.1519635122227,223.46034287574784,3944.072170847815
2026-11-01,Aba North,U5,957.2878087101456,351.338378614183,2605.3454339956106,206.45814100883905,4425.509944882647
2026-12-01,Aba North,U5,1098.0883528476231,379.2340098888483,3175.978323739183,215.78140007201202,5571.411687368111
2027-01-01,Aba North,U5,1065.6079068403012,346.9170641545245,3268.89545539787,191.2749904622667,5915.7987692996885
2027-02-01,Aba North,U5,1156.2261150201243,355.5282587737412,3755.1462473986694,190.16801969977635,7004.210826516373
2027-03-01,Aba North,U5,1264.3845526595042,367.7565284638648,4341.155168830318,190.98718499184247,8339.129921574338
2027-04-01,Aba North,U5,1365.5259452119603,376.15495464430046,4950.262434557179,189.7880548349367,9786.788656648585
2027-05-01,Aba North,U5,1501.3760820945106,381.8674097105778,5894.340879903813,184.6720726671338,12155.5610790383
2027-06-01,Aba North,U5,1652.961483931368,393.54890393052693,6932.458851555051,183.76052482999657,14805.131303456441
2027-07-01,Aba North,U5,1797.2403634322766,401.16192112392605,8039.712545931442,181.00160288622513,17766.252339522063
2027-08-01,Aba North,U5,1966.576173805272,412.08423025154036,9370.831980535293,179.79389893118386,21412.089836619743
2027-09-01,Aba North,U5,2129.325873439361,419.34256659088175,10795.64228120461,177.02549440578076,25491.35064445813
2027-10-01,Aba North,U5,2299.9794259121186,426.11976478105305,12394.83544251315,174.14165437700842,30228.852157693756
